SUBSTANCE,Number,Schedule,Narcotic,Names
"2-(2,5-Dimethoxy-4-ethylphenyl) ethanamine (2C-E )",7509,I,N,"2C-E (Positional Isomer: 2,5-Dimethoxy-3,4-dimethylphenethylamine (2C-G))"
"2-(4-Isopropylthio)-2,5-dimethoxyphenyl) ethanamine(2C-T-4 )",7532,I,N,"2C-T-4 (Positional Isomer: 2,5-Dimethoxy-4-ethylthioamphetamine (Aleph-2))"
"2,5-Dimethoxy-4-(n)-propylthiophenethylamine (2C-T-7)",7348,I,N,"2C-T-7 (Positional Isomer: 2,5-Dimethoxy-4-ethylthioamphetamine (Aleph-2))"
"2,5-Dimethoxyamphetamine",7396,I,N,"DMA; 2,5-DMA"
"3,4,5-Trimethoxyamphetamine",7390,I,N,"TMA (Positional Isomers: 2,4,5-Trimethoxy-amphetamine (TMA-5), 2,4,6-Trimethoxy-amphetamine (TMA-6), Escaline)"
"3,4-Methylenedioxy-N-ethylamphetamine",7404,I,N,"N-ethyl MDA; MDE; MDEA (Positional Isomer:MDMB)"
3-Fluoro-N-methylcathinone (3-FMC),1233,I,N,1-(3-fluorophenyl)-2-(methylamino)propan-1-one)(Positional isomer: 2-FMC)
4-Fluoro-N-methylcathinone (4-FMC),1238,I,N,flephedrone; 1-(4-fluorophenyl)-2-(methylamino)propan-1-one) (Positional isomer: 2-FMC)
"4-Hydroxy-androst-4-ene-3,17-dione",4000,III,N,"4-Hydroxy-androst-4-ene-3,17-dione[3,2-c]pyrazole-5α-androstan-17β-ol"
"4-Methyl-2,5-dimethoxyamphetamine",7395,I,N,"DOM; STP (Positional Isomer: 2,5-Dimethoxy-3,4-dimethylphenethylamine (2C-G))"
4-Methyl-alphapyrrolidinopropiophenone (4-MePPP),7498,I,N,"MePPP; 4-methyl-α-pyrrolidinopropiophenone; 1-(4-methylphenyl)-2-(pyrrolidin-1-yl)-propan-1-one)"
4-Methyl-N-ethylcathinone (4-MEC),1249,I,N,"2-(ethylamino)-1-(4-methylphenyl)propan-1-one)(Positional Isomers:3-methylethcathinone (3-MEC), 4-ethylmethcathinone (4-EMC), 4-methylbuphedrone (4-MeMABP;4-MeBP), 3,4-dimethylmethcathinone(3,4-DMMC),N-ethylbuphedrone (NEB),N-ethyl-N-methylcathinone(EMC))"
"5-Methoxy-N,N-diisopropyltryptamine",7439,I,N,"5-MeO-DIPT (Positional Isomer: 5-Methoxy-N,N-dipropyltryptamine (5-MeO-DPT))"
5-Methoxy-N-N-dimethyltryptamine,7431,I,N,"5-MeO-DMT (Positional Isomer: 4-Methoxy-N,N-dimethyltryptamine (4-MeO-DMT))"
Alfaxalone,2731,IV,N,"Alfaxan; 5α-pregnan-3α-ol-11,20-dione"
Alpha-methyltryptamine,7432,I,N,AMT (Positional Isomer: N-Methyltryptamine)
alpha-pyrrolidinobutiophenone (α-PBP),7546,I,N,1-phenyl-2-(pyrrolidin-1-yl)butan-1-one)
alpha-pyrrolidinopentiophenone (α-PVP),7545,I,N,"α-pyrrolidinovalerophenone, 1-phenyl-2- (pyrrolidin-1-yl)pentan-1-one)(Positional isomers: 4-methyl-α-pyrrolidinobutiophenone (4-MePBP), 1-phenyl-2-(piperidin-1-yl)butan-1-one)"
Beta-hydroxythiofentanyl,9836,I,Y,"N-[1-[2-hydroxy-2-(thiophen-2-yl)ethyl]piperidin-4-yl]-N-phenylpropionamide, N-[1-[2-hydroxy-2-(2-thienyl)ethyl]-4-piperidinyl]-N-phenylpropanamide"
Brivaracetam,2710,V,N,"BRV; UCB-34714; Briviact; ((2S)-2-[(4R)-2-oxo-4-propylpyrrolidin-1-yl] butanamide)"
Bufotenine,7433,I,N,"Mappine; N,N-dimethylserotonin"
Butobarbital (butethal),2100,III,N,Soneryl
Butylone,7541,I,N,"bk-MBDB; 1-(1,3-benzodioxol-5-yl)-2-(methylamino)butan-1-one) (Positional Isomers:  dimethylone (bk-MDDMA; MDDMC))"
Butyryl Fentanyl,9822,I,Y,"N-(1-phenethylpiperidin-4-yl)-N-phenylbutyramide; N-(1-phenethylpiperidin-4-yl)-N-phenylbutanamide"
Cathine,1230,IV,N,"Khat (+)-norpseudoephedrine"
Cenobamate [(1R)-1-(2-chlorophenyl)-2-(tetrazol-2-yl)ethyl]carbamate,2720,V,N,"2H-tetrazole-2-ethanol, alpha-(2-chlorophenyl)-,carbamate (ester), (alphaR)-; carbamic acid (R)-(+)-1-(2-chlorophenyl)-2-(2H-tetrazol-2-yl)ethyl ester)"
Codeine combination product 90 mg/du,9804,III,Y,"Empirin; Fiorinal; Tylenol; ASA; APAP w/codeine"
Codeine preparations - 200 mg/(100 ml or 100 gm),NA,V,Y,"Cosanyl;Robitussin A-C;Cheracol;Cerose;Pediacof"
"CP-47,497 (5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexyl-phenol)",7297,I,N,"CP-47,497"
"CP-47,497 C8 Homologue (5-(1,1-Dimethyloctyl)-2-[(1R,3S)3-hydroxycyclohexyl-phenol)",7298,I,N,"CP-47,497 C8 Homologue"
Cyclopentyl fentanyl,9847,I,Y,N-(1-phenethylpiperidin-4-yl)-N-phenylcyclopentanecarboxamide
Cyclopropyl Fentanyl,9845,I,Y,N-(1-phenethylpiperidin-4-yl)-N-phenylcyclopropanecarboxamide
Diethyltryptamine,7434,I,N,"DET; N,N-Diethyltryptamine (Positional Isomer: N-Methyl-N-isopropyltryptamine (MiPT))"
Ethylone,7547,I,N,"1-(1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one;3,4-methylenedioxy-N-ethylcathinone; bk-MDEA;MDEC"
Fenethylline,1503,I,N,"Captagon; amfetyline;ethyltheophylline amphetamine"
Isobutyryl fentanyl,9827,I,Y,N-(1-phenethylpiperidin-4-yl)-N-phenylisobutyramide
"Isotonitazene (N,N-diethyl-2-(2-(4 isopropoxybenzyl)-5-nitro-1H-benzimidazol-1-yl)ethan-1-amine)",9614,I,Y,"N,N-diethyl-2-[[4-(1-methylethoxy)phenyl]methyl]-5-nitro-1H-benzimidazole-1-ethanamine"
Lemborexant,2245,IV,N,"(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(3-fluorophenyl)-N-(5-fluoropyridin-2-yl)cyclopropane-1-carboxamide"
Mephedrone (4-Methyl-N-methylcathinone),1248,I,N,"(Positional Isomers: 3-Methyl-methcathinone,Buphedrone, Ethcathinone, N,N-Dimethyl-cathinone)"
"Methasterone (2alpha,17alpha-dimethyl-5alpha-androstan-17beta-ol-3-one)",4000,III,N,"Methasterone; 2α,17α-dimethyl-17β-hydroxy-5α-androstan-3-one"
"Methylone (3,4-Methylenedioxy-N-methylcathinone)",7540,I,N,"(Positional Isomer: 2,3-methylenedioxymethcathinone (2,3-MDMC, 1-(benzo[d][1,3]dioxol-4-yl)-2-(methylamino)propan-1-one))"
N-(Adamantan-1-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide,7047,I,N,FUB-AKB48; FUB-APINACA; AKB48 N-(4-FLUOROBENZYL)
Naphyrone,1258,I,N,naphthylpyrovalerone; 1-(naphthalen-2-yl)-2-(pyrrolidin-1-yl)pentan-1-one) (Positional Isomer: α-naphyrone)
Ocfentanil,9838,I,Y,N-(2-fluorophenyl)-2-methoxy-N-(1-phenethylpiperidin-4-yl)acetamide
Para-chloroisobutyryl fentanyl,9826,I,Y,N-(4-chlorophenyl)-N-(1-phenethylpiperidin-4-yl)isobutyramide
Para-fluorobutyryl fentanyl,9823,I,Y,N-(4-fluorophenyl)-N-(1-phenethylpiperidin-4-yl)butyramide
Para-methoxybutyryl fentanyl,9837,I,Y,N-(4-methoxyphenyl)-N-(1-phenethylpiperidin-4-yl)butyramide
Pentedrone (α-methylaminovalerophenone),1246,I,N,"2-(methylamino)-1-phenylpentan-1-one)(PositionalIsomers:3-methylethcathinone (3-MEC), 4-ethylmethcathinone (4-EMC), 4-methylbuphedrone(4-MeMABP;4-MeBP), 3,4-dimethylmethcathinone(3,4-DMMC),N-ethylbuphedrone (NEB),N-ethyl-N-methylcathinone(EMC))"
Pentylone,7542,I,N,"bk-MBDP; 1-(1,3-benzodioxol-5-yl)-2-(methylamino)pentan-1-one) (Positional Isomers:dibutylone (bk-DMBDB), eutylone, and        propylone(3',4'-methylenedioxy-N-propylaminocathinone, 1-(benzo[d][1,3]dioxol-5-yl)-2-(propylamino)propan-1-one))"
Perampanel,2261,III,N,"Fycompa; [2-(2-oxo-l-phenyl-5-pyridin-2-yl-l ,2-dihydropyridin-3-yl) benzonitrile ]"
"Prostanozol (17beta-hydroxy-5alpha-androstano[3,2-c]pyrazole)",4000,III,N,"Prostanozol;    [3,2-c]pyrazole-5α-androstan-17β-ol"
SPA,1635,IV,N,"1-dimethylamino-1,2-diphenylethane; Lefetamine"
Suvorexant,2223,IV,N,"MK-4305; [(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl][5-methyl-2-(2H-1,2,3-triazol-2-yl)phenyl]methanone"
Valeryl fentanyl,9840,I,Y,N-(1-phenethylpiperidin-4-yl)-N-phenylpentanamide
